Field,Argentina_Code,Natural_Language,Numeric_Code
AGE,1,18-24 yo,1
AGE,2,25-34 yo,2
AGE,3,35-44 yo,3
AGE,4,45-54 yo,4
AGE,5,55-64 yo,5
AGE,6,65-74 yo,6
AGE,7,75-84 yo,7
AGE,8,85 yo or more,8
EDUCATION,1,Less than high school,1
EDUCATION,2,High school graduate,2
EDUCATION,3,Some college,3
EDUCATION,4,4 year degree,4
EDUCATION,5,Professional degree,5
EDUCATION,6,Master's degree/Certificate program,6
EDUCATION,7,Doctorate/PhD,7
EDUCATION_Student,1,Yes,1
EDUCATION_Student,2,No,2
STUDENT,1,Yes,1
STUDENT,2,No,2
GENDER,1,Female,1
GENDER,2,Male o,2
GENDER,3,Non binary,3
GENDER,4,I'd rather not say,4
GAD,0,Never,0
GAD,1,Several days,1
GAD,2,More than half days a week,2
GAD,3,Almost every day,3
GAD final,0,Not difficult at all,0
GAD final,1,A bit difficult,1
GAD final,2,Very difficult,2
GAD final,3,Extremely difficult,3
PHQ9,0,Never,0
PHQ9,1,Several days,1
PHQ9,2,More than half days a week,2
PHQ9,3,Almost every day,3
PHQ9 final,0,Not difficult at all,0
PHQ9 final,1,A bit difficult,1
PHQ9 final,2,Very difficult,2
PHQ9 final,3,Extremely difficult,3
Alarm,1,Natural,1
Alarm,2,Alarm,2
Alarm,3,"Other (pets, babies, noises, nightmares, partner)",3
Alarm,4,Both,4
Alarm_freq,0,Never,0
Alarm_freq,1,Once a week,1
Alarm_freq,2,2-3 times a week,2
Alarm_freq,3,4-6 times a week,3
Alarm_freq,4,Daily,4
Time_2sleep,1,Less than 30 min,1
Time_2sleep,2,Between 30 and 60 minutes,2
Time_2sleep,3,Beween 1 and 2 hours,3
Time_2sleep,4,More than 2 hours,4
Freq_meds2sleep,0,Never,0
Freq_meds2sleep,1,Once a week,1
Freq_meds2sleep,2,2-3 times a week,2
Freq_meds2sleep,3,4-6 times a week,3
Freq_meds2sleep,4,Daily,4
Sleep_Interrupted,0,Never,0
Sleep_Interrupted,1,Once a week,1
Sleep_Interrupted,2,2-3 times a week,2
Sleep_Interrupted,3,3-4 times a week,3
Sleep_Interrupted,4,Once per night,4
Sleep_Interrupted,5,Several times a night,5
MorningVsEvening,1,Morning,1
MorningVsEvening,2,Evening,2
Dream_feeling,0,N/A,0
Dream_feeling,1,Terrible,1
Dream_feeling,2,Poor,2
Dream_feeling,3,Average,3
Dream_feeling,4,Good,4
Dream_feeling,5,Excellent,5
Dream_someone,1,Yes,1
Dream_someone,2,No,2
Dream_who,1,"Friends and family (+partner, boy-girlfriend)",1
Dream_who,2,Housemates,2
Dream_who,3,Professionals,3
Dream_who,0,No one,0
Dream_who,4,"Others (people from work, classmates, posted on social media, teacher)",4
Dream_write,1,Yes,1
Dream_write,2,No,2
Dream_thoughts,1,Yes,1
Dream_thoughts,2,No,2
SleepQ,4,Very good,4
SleepQ,3,Fairly good,3
SleepQ,2,Farily bad,2
SleepQ,1,Very bad,1
DreamQ_Frequency,4,Three times a week or more,4
DreamQ_Frequency,3,Once or twice a week,3
DreamQ_Frequency,2,Less than once a week,2
DreamQ_Frequency,1,I didn't have / I don't remember,1
More_LucidDream,4,Three times a week or more,4
More_LucidDream,3,Once or twice a week,3
More_LucidDream,2,Less than once a week,2
More_LucidDream,1,I didn't have / I don't remember,1
DreamQ_Vivid_1,1,Not at all vívid,1
DreamQ_Vivid_1,2,Not that vívid,2
DreamQ_Vivid_1,3,Somewhat vívid,3
DreamQ_Vivid_1,4,Quite vívid,4
DreamQ_Vivid_1,5,Very vívid,5
DreamQ_Bizarre_1,1,Not at all bizarre,1
DreamQ_Bizarre_1,2,Not that bizarre,2
