Metric,"Study 1 (timepoint 1, N=505)","Study 2 (timepoint 2, N=424)","Study 3 (timepoint 3, N=383)","Study 4 (timepoint 4, N=348)","Study 5 (timepoint 5, N=320)"
"Age (median, SD)",49.50 (17.61),49.50 (17.41),49.50 (17.52),49.50 (17.66),49.50 (17.39)
Female (%),51.68,49.17,49.35,51.59,53.75
Male (%),46.73,49.41,49.35,47.84,45.94
Non-binary (%),1.19,1.18,1.31,0.58,0.31
Other / Prefer not (%),0.40,0.24,0.00,0.00,0.00
Education: 2 year degree,12.28,12.06,12.27,11.24,12.19
Education: 4 year degree,33.86,33.57,34.73,34.29,34.38
Education: Doctorate,2.18,1.89,1.83,2.02,1.56
Education: High school graduate,9.90,10.64,10.97,10.66,11.25
Education: Less than high school,0.20,0.24,0.26,0.29,0.31
Education: Professional degree,20.20,20.57,19.84,20.75,19.06
Education: Some college,21.39,21.04,20.10,20.75,21.25
