Metric,"Study 1 (timepoint 1, N=1054)","Study 2 (timepoint 2, N=877)","Study 3 (timepoint 3, N=755)","Study 4 (timepoint 4, N=665)","Study 5 (timepoint 5, N=615)"
"Age (median, SD)",29.50 (11.16),,,,
Female (%),84.72,,,,
Male (%),12.90,,,,
Non-binary (%),1.42,,,,
Other / Prefer not (%),0.95,,,,
Education: 4 year degree,11.67,,,,
Education: Doctorate/PhD,6.26,,,,
Education: High school graduate,8.16,,,,
Education: Less than high school,0.19,,,,
Education: Master's degree/Certificate program,16.51,,,,
Education: Professional degree,28.84,,,,
Education: Some college,28.37,,,,
